B,E,core,sp,sum_lambda,lambda
14,0,T14_0680,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0681,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0683,-1,6,0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2
14,0,T14_0684,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0687,-1,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
14,0,T14_0727,-1,2,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0731,-1,2,0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
14,0,T14_0732,-1,9,0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1
14,0,T14_0736,-1,7,0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1
14,0,T14_0762,-1,3,0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0
14,0,T14_0763,-1,10,0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 1 0 1 1 1
14,0,T14_0772,-1,8,0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 1 1 1
14,0,T14_0785,-1,4,0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0
14,0,T14_0786,-1,4,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0
14,0,T14_0787,-1,10,0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 1 0 2
14,0,T14_0788,-1,12,0 0 0 0 1 0 0 0 1 1 0 0 0 2 2 1 1 1 1 1
14,0,T14_0789,-1,7,0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1
14,0,T14_0790,-1,4,0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0
14,0,T14_0791,-1,8,0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 2
14,0,T14_0792,-1,12,0 0 0 0 1 0 0 0 0 1 1 0 0 2 2 1 1 1 1 1
14,0,T14_0793,-1,9,0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 2 0 1 1
14,0,T14_0797,-1,3,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,0,T14_0798,-1,4,0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0
14,0,T14_0799,-1,3,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,0,T14_0807,-1,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,0,T14_0813,-1,11,0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 1 1 1 0 2
14,0,T14_0814,-1,13,0 0 0 0 0 0 0 1 1 0 2 0 0 2 2 1 1 1 1 1
14,0,T14_0815,-1,8,0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 1 0 0 1 1
14,0,T14_0816,-1,5,0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0
14,0,T14_0820,-1,5,0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0
14,0,T14_0821,-1,9,0 0 0 0 0 0 0 0 2 0 2 1 0 0 1 1 0 1 0 1
14,0,T14_0822,-1,13,0 0 0 0 0 0 0 0 2 0 1 1 0 2 2 1 1 1 1 1
14,0,T14_0823,-1,11,1 0 0 0 0 0 0 0 2 0 1 1 0 0 1 1 2 0 1 1
14,0,T14_0824,-1,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,0,T14_0833,-1,4,0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0
14,0,T14_0835,-1,4,0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0
14,0,T14_0847,-1,5,0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0
14,1,T14_0006,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0007,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0009,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0010,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0011,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0012,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0013,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0014,0,1,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0015,0,3,0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
14,1,T14_0015,5,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,12,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0015,13,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0016,0,2,0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,2,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,3,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,4,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,1,T14_0016,5,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,6,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,7,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,8,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,9,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,10,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,11,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0016,12,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
